"AnimalID","Timestamp","X","Y","Z","ODBA"
"154",2025-06-05 01:42:15.96,0.95313,0.07813,-0.03125,0.0148451999999527
"154",2025-06-05 01:42:17.96,0.96094,0.0625,-0.01563,0.0245290000000476
"154",2025-06-05 01:42:19.96,0.96094,0.0625,-0.02344,0.0173186000000476
"154",2025-06-05 01:42:21.96,0.96094,0.0625,-0.02344,0.0185922000000474
"154",2025-06-05 01:42:23.96,0.96875,0.07031,-0.01563,0.0221838000000474
"154",2025-06-05 01:42:25.96,0.95313,0.07813,-0.02344,0.0173373999999979
"154",2025-06-05 01:42:27.96,0.96875,0.07031,-0.01563,0.0228094000000473
"154",2025-06-05 01:42:29.96,0.96094,0.0625,-0.00781,0.0276604000000474
"154",2025-06-05 01:42:31.96,0.95313,0.07813,-0.03906,0.0215177999999524
"154",2025-06-05 01:42:33.96,0.97656,0.0625,-0.03125,0.025932000000002
"154",2025-06-05 01:42:35.96,0.96875,0.07031,-0.03906,0.0215539999999634
"154",2025-06-05 01:42:37.96,0.95313,0.07031,-0.03125,0.00806839999999085
"154",2025-06-05 01:42:39.96,0.94531,0.07031,-0.03125,0.0159439999999913
"154",2025-06-05 01:42:41.96,0.95313,0.07031,-0.03125,0.00733659999999097
"154",2025-06-05 01:42:43.96,0.96875,0.07031,-0.03125,0.0104690000000021
"154",2025-06-05 01:42:45.96,0.96094,0.0625,-0.02344,0.0120292000000473
"154",2025-06-05 01:42:47.96,0.9375,0.07031,-0.03125,0.026504199999991
"154",2025-06-05 01:42:49.96,0.94531,0.07031,-0.01563,0.0256231999999978
"154",2025-06-05 01:42:51.96,0.97656,0.07031,-0.04688,0.0365585999999634
"154",2025-06-05 01:42:53.96,0.96094,0.07031,-0.03906,0.0117810000000022
"154",2025-06-05 01:42:55.96,0.95313,0.07031,-0.04688,0.0257799999999524
"154",2025-06-05 01:42:57.96,0.96094,0.07031,-0.03906,0.0165610000000021
"154",2025-06-05 01:42:59.96,0.96094,0.07031,-0.03125,0.00676420000000231
"154",2025-06-05 01:43:01.96,0.96094,0.07813,-0.01563,0.0223440000000087
"154",2025-06-05 01:43:03.96,0.96094,0.07031,-0.03125,0.0053136000000021
"154",2025-06-05 01:43:05.96,0.95313,0.07031,-0.01563,0.0187830000000362
"154",2025-06-05 01:43:07.96,0.95313,0.0625,-0.01563,0.0246802000000365
"154",2025-06-05 01:43:09.96,0.94531,0.07031,-0.04688,0.0340677999999526
"154",2025-06-05 01:43:11.96,0.96094,0.07813,-0.03125,0.0107093999999636
"154",2025-06-05 01:43:13.96,0.95313,0.0625,-0.03906,0.0223379999999913
"154",2025-06-05 01:43:15.96,0.96094,0.07031,-0.04688,0.022663800000002
"154",2025-06-05 01:43:17.96,0.96094,0.07031,-0.03125,0.00563260000000238
"154",2025-06-05 01:43:19.96,0.96094,0.07813,-0.03125,0.0117237999999638
"154",2025-06-05 01:43:21.96,0.96094,0.07031,-0.02344,0.00565120000004778
"154",2025-06-05 01:43:23.96,0.96094,0.07813,-0.03125,0.0078165999999635
"154",2025-06-05 01:43:25.96,0.96094,0.07813,-0.00781,0.0281332000000088
"154",2025-06-05 01:43:27.96,0.96094,0.07031,-0.03906,0.0117508000000022
"154",2025-06-05 01:43:29.96,0.95313,0.07031,-0.00781,0.0265660000000367
"154",2025-06-05 01:43:31.96,0.95313,0.07813,-0.01563,0.0264047999999979
"154",2025-06-05 01:43:33.96,0.95313,0.0625,-0.03125,0.019076999999991
"154",2025-06-05 01:43:35.96,0.95313,0.07813,-0.03125,0.0145323999999526
"154",2025-06-05 01:43:37.96,0.95313,0.0625,-0.03125,0.0168719999999912
"154",2025-06-05 01:43:39.96,0.96094,0.07031,-0.02344,0.0074906000000088
"154",2025-06-05 01:43:41.96,0.96875,0.07031,-0.03906,0.0204650000000021
"154",2025-06-05 01:43:43.96,0.96094,0.07031,-0.03906,0.0139050000000022
"154",2025-06-05 01:43:45.96,0.96094,0.07813,-0.01563,0.0206514000000088
"154",2025-06-05 01:43:47.96,0.95313,0.0625,-0.03906,0.0238997999999912
"154",2025-06-05 01:43:49.96,0.95313,0.07031,-0.00781,0.0243800000000367
"154",2025-06-05 01:43:51.96,0.96094,0.0625,-0.03125,0.0124976000000021
"154",2025-06-05 01:43:53.96,0.95313,0.07031,-0.03906,0.0156173999999526
"154",2025-06-05 01:43:55.96,0.96094,0.07031,-0.03906,0.0109360000000021
"154",2025-06-05 01:43:57.96,0.95313,0.07813,-0.03125,0.0156439999999527
"154",2025-06-05 01:43:59.96,0.96094,0.07031,-0.03906,0.0135926000000022
"154",2025-06-05 01:44:01.96,0.96094,0.0625,-0.02344,0.0132864000000477
"154",2025-06-05 01:44:03.96,0.95313,0.0625,-0.02344,0.0179638000000367
"154",2025-06-05 01:44:05.96,0.96094,0.07031,0,0.0314102000000474
"154",2025-06-05 01:44:07.96,0.94531,0.07031,-0.03906,0.0232737999999524
"154",2025-06-05 01:44:09.96,0.96094,0.07031,-0.02344,0.0039070000000475
"154",2025-06-05 01:44:11.96,0.96094,0.0625,-0.01563,0.0235894000000475
"154",2025-06-05 01:44:13.96,0.96094,0.07813,-0.03125,0.0137353999999637
"154",2025-06-05 01:44:15.96,0.96094,0.07031,-0.03906,0.0104684000000022
"154",2025-06-05 01:44:17.96,0.96094,0.0625,-0.02344,0.0156230000000475
"154",2025-06-05 01:44:19.96,0.96094,0.07031,-0.02344,0.00829500000004778
"154",2025-06-05 01:44:21.96,0.95313,0.07031,-0.04688,0.0242237999999914
