"X","Temp","DateTime"
141,3.155,2025-03-20 07:07:45
142,3.261,2025-03-20 08:07:45
143,3.155,2025-03-20 09:07:45
144,3.367,2025-03-20 10:07:45
145,3.683,2025-03-20 11:07:45
146,4.102,2025-03-20 12:07:45
147,4.207,2025-03-20 13:07:45
148,4.727,2025-03-20 14:07:45
149,4.519,2025-03-20 15:07:45
150,4.727,2025-03-20 16:07:45
151,4.831,2025-03-20 17:07:45
152,4.727,2025-03-20 18:07:45
153,4.623,2025-03-20 19:07:45
154,4.519,2025-03-20 20:07:45
155,4.415,2025-03-20 21:07:45
156,4.311,2025-03-20 22:07:45
157,4.207,2025-03-20 23:07:45
158,4.102,2025-03-21 00:07:45
159,3.893,2025-03-21 01:07:45
160,3.788,2025-03-21 02:07:45
161,3.578,2025-03-21 03:07:45
162,3.367,2025-03-21 04:07:45
163,3.155,2025-03-21 05:07:45
164,3.049,2025-03-21 06:07:45
165,2.943,2025-03-21 07:07:45
166,2.943,2025-03-21 08:07:45
167,2.837,2025-03-21 09:07:45
168,3.049,2025-03-21 10:07:45
169,3.367,2025-03-21 11:07:45
170,3.998,2025-03-21 12:07:45
171,3.893,2025-03-21 13:07:45
172,4.831,2025-03-21 14:07:45
173,4.519,2025-03-21 15:07:45
174,4.623,2025-03-21 16:07:45
175,4.727,2025-03-21 17:07:45
176,4.727,2025-03-21 18:07:45
177,4.623,2025-03-21 19:07:45
178,4.519,2025-03-21 20:07:45
179,4.415,2025-03-21 21:07:45
180,4.311,2025-03-21 22:07:45
181,4.207,2025-03-21 23:07:45
182,4.207,2025-03-22 00:07:45
183,4.207,2025-03-22 01:07:45
184,4.102,2025-03-22 02:07:45
185,4.102,2025-03-22 03:07:45
186,3.998,2025-03-22 04:07:45
187,3.998,2025-03-22 05:07:45
188,3.998,2025-03-22 06:07:45
189,3.998,2025-03-22 07:07:45
190,4.102,2025-03-22 08:07:45
191,4.207,2025-03-22 09:07:45
192,4.311,2025-03-22 10:07:45
193,4.415,2025-03-22 11:07:45
194,4.415,2025-03-22 12:07:45
195,4.727,2025-03-22 13:07:45
196,5.244,2025-03-22 14:07:45
197,4.727,2025-03-22 15:07:45
198,4.831,2025-03-22 16:07:45
199,4.831,2025-03-22 17:07:45
200,4.727,2025-03-22 18:07:45
201,4.623,2025-03-22 19:07:45
202,4.415,2025-03-22 20:07:45
203,4.311,2025-03-22 21:07:45
204,4.207,2025-03-22 22:07:45
205,3.998,2025-03-22 23:07:45
206,3.893,2025-03-23 00:07:45
207,3.893,2025-03-23 01:07:45
208,3.788,2025-03-23 02:07:45
209,3.788,2025-03-23 03:07:45
210,3.578,2025-03-23 04:07:45
211,3.472,2025-03-23 05:07:45
212,3.367,2025-03-23 06:07:45
213,3.367,2025-03-23 07:07:45
214,3.472,2025-03-23 08:07:45
215,3.578,2025-03-23 09:07:45
216,3.788,2025-03-23 10:07:45
217,4.311,2025-03-23 11:07:45
218,4.831,2025-03-23 12:07:45
219,4.934,2025-03-23 13:07:45
220,5.962,2025-03-23 14:07:45
221,5.347,2025-03-23 15:07:45
222,5.45,2025-03-23 16:07:45
223,5.552,2025-03-23 17:07:45
224,5.347,2025-03-23 18:07:45
225,5.141,2025-03-23 19:07:45
226,4.831,2025-03-23 20:07:45
227,4.623,2025-03-23 21:07:45
228,4.519,2025-03-23 22:07:45
229,4.311,2025-03-23 23:07:45
230,4.207,2025-03-24 00:07:45
231,3.998,2025-03-24 01:07:45
232,3.893,2025-03-24 02:07:45
233,3.683,2025-03-24 03:07:45
234,3.472,2025-03-24 04:07:45
235,3.261,2025-03-24 05:07:45
236,3.155,2025-03-24 06:07:45
237,3.049,2025-03-24 07:07:45
238,3.155,2025-03-24 08:07:45
239,3.261,2025-03-24 09:07:45
240,3.472,2025-03-24 10:07:45
241,3.998,2025-03-24 11:07:45
242,4.519,2025-03-24 12:07:45
243,4.519,2025-03-24 13:07:45
244,5.962,2025-03-24 14:07:45
245,5.037,2025-03-24 15:07:45
246,5.244,2025-03-24 16:07:45
247,5.347,2025-03-24 17:07:45
248,5.244,2025-03-24 18:07:45
249,5.037,2025-03-24 19:07:45
250,4.831,2025-03-24 20:07:45
251,4.727,2025-03-24 21:07:45
252,4.519,2025-03-24 22:07:45
253,4.415,2025-03-24 23:07:45
254,4.311,2025-03-25 00:07:45
255,4.207,2025-03-25 01:07:45
256,3.998,2025-03-25 02:07:45
257,3.998,2025-03-25 03:07:45
258,3.893,2025-03-25 04:07:45
259,3.893,2025-03-25 05:07:45
260,3.788,2025-03-25 06:07:45
261,3.893,2025-03-25 07:07:45
262,4.102,2025-03-25 08:07:45
263,4.207,2025-03-25 09:07:45
264,4.415,2025-03-25 10:07:45
265,4.519,2025-03-25 11:07:45
266,4.727,2025-03-25 12:07:45
267,4.934,2025-03-25 13:07:45
268,5.037,2025-03-25 14:07:45
269,5.141,2025-03-25 15:07:45
270,5.141,2025-03-25 16:07:45
271,5.244,2025-03-25 17:07:45
272,5.244,2025-03-25 18:07:45
273,5.244,2025-03-25 19:07:45
274,5.244,2025-03-25 20:07:45
275,5.347,2025-03-25 21:07:45
276,5.347,2025-03-25 22:07:45
277,5.347,2025-03-25 23:07:45
278,5.347,2025-03-26 00:07:45
279,5.45,2025-03-26 01:07:45
280,5.45,2025-03-26 02:07:45
281,5.45,2025-03-26 03:07:45
282,5.45,2025-03-26 04:07:45
283,5.45,2025-03-26 05:07:45
284,5.45,2025-03-26 06:07:45
285,5.45,2025-03-26 07:07:45
286,5.552,2025-03-26 08:07:45
